tracker,id,x,y,z,timestamp
Tracker_Raw,36793036149F,5.172,-0.624,1.5,2024-05-17T19:42:00.482064Z
Tracker_Raw,36793036149F,5.161,-0.683,1.5,2024-05-17T19:42:00.726638Z
Tracker_Raw,36793036149F,5.16,-0.711,1.5,2024-05-17T19:42:00.978394Z
Tracker_Raw,36793036149F,5.237,-0.485,1.5,2024-05-17T19:42:01.219081Z
Tracker_Raw,36793036149F,5.234,-0.33,1.5,2024-05-17T19:42:01.465955Z
Tracker_Raw,36793036149F,5.174,-0.201,1.5,2024-05-17T19:42:01.757764Z
Tracker_Raw,36793036149F,5.111,-0.111,1.5,2024-05-17T19:42:01.997389Z
Tracker_Raw,36793036149F,4.962,-0.273,1.5,2024-05-17T19:42:02.239457Z
Tracker_Raw,36793036149F,4.943,-0.112,1.5,2024-05-17T19:42:02.494654Z
Tracker_Raw,36793036149F,4.825,0.047,1.5,2024-05-17T19:42:02.743625Z
Tracker_Raw,36793036149F,4.629,0.195,1.5,2024-05-17T19:42:03.027226Z
Tracker_Raw,36793036149F,4.503,0.338,1.5,2024-05-17T19:42:03.269470Z
Tracker_Raw,36793036149F,4.378,0.443,1.5,2024-05-17T19:42:03.516395Z
Tracker_Raw,36793036149F,4.233,0.52,1.5,2024-05-17T19:42:03.762512Z
Tracker_Raw,36793036149F,4.068,0.61,1.5,2024-05-17T19:42:04.012426Z
Tracker_Raw,36793036149F,3.878,0.64,1.5,2024-05-17T19:42:04.302852Z
Tracker_Raw,36793036149F,3.771,0.741,1.5,2024-05-17T19:42:04.551024Z
Tracker_Raw,36793036149F,3.605,0.995,1.5,2024-05-17T19:42:04.794650Z
Tracker_Raw,36793036149F,3.453,1.128,1.5,2024-05-17T19:42:05.035039Z
Tracker_Raw,36793036149F,3.301,1.254,1.5,2024-05-17T19:42:05.283129Z
Tracker_Raw,36793036149F,3.129,1.378,1.5,2024-05-17T19:42:05.575397Z
Tracker_Raw,36793036149F,2.911,1.443,1.5,2024-05-17T19:42:05.816043Z
Tracker_Raw,36793036149F,2.783,1.61,1.5,2024-05-17T19:42:06.063581Z
Tracker_Raw,36793036149F,2.548,1.692,1.5,2024-05-17T19:42:06.333716Z
Tracker_Raw,36793036149F,2.461,1.837,1.5,2024-05-17T19:42:06.587513Z
Tracker_Raw,36793036149F,2.355,1.956,1.5,2024-05-17T19:42:06.871999Z
Tracker_Raw,36793036149F,1.831,2.003,1.5,2024-05-17T19:42:07.113829Z
Tracker_Raw,36793036149F,1.682,2.173,1.5,2024-05-17T19:42:07.380469Z
