tracker,id,x,y,z,timestamp
Tracker_Raw,36793036149F,5.335,-0.353,1.5,2024-05-17T19:37:48.799973Z
Tracker_Raw,36793036149F,5.335,-0.333,1.5,2024-05-17T19:37:49.052567Z
Tracker_Raw,36793036149F,5.325,-0.326,1.5,2024-05-17T19:37:49.334890Z
Tracker_Raw,36793036149F,5.325,-0.323,1.5,2024-05-17T19:37:49.581573Z
Tracker_Raw,36793036149F,5.297,-0.302,1.5,2024-05-17T19:37:49.841811Z
Tracker_Raw,36793036149F,5.269,-0.252,1.5,2024-05-17T19:37:50.091477Z
Tracker_Raw,36793036149F,5.222,-0.107,1.5,2024-05-17T19:37:50.337663Z
Tracker_Raw,36793036149F,5.216,0.078,1.5,2024-05-17T19:37:50.627586Z
Tracker_Raw,36793036149F,5.224,0.259,1.5,2024-05-17T19:37:50.877416Z
Tracker_Raw,36793036149F,5.253,0.395,1.5,2024-05-17T19:37:51.121366Z
Tracker_Raw,36793036149F,5.278,0.569,1.5,2024-05-17T19:37:51.369836Z
Tracker_Raw,36793036149F,5.293,0.867,1.5,2024-05-17T19:37:51.612703Z
Tracker_Raw,36793036149F,5.277,1.11,1.5,2024-05-17T19:37:51.894692Z
Tracker_Raw,36793036149F,5.313,1.316,1.5,2024-05-17T19:37:52.139696Z
Tracker_Raw,36793036149F,5.344,1.508,1.5,2024-05-17T19:37:52.389325Z
Tracker_Raw,36793036149F,5.354,1.724,1.5,2024-05-17T19:37:52.635057Z
Tracker_Raw,36793036149F,5.358,2.055,1.5,2024-05-17T19:37:52.876778Z
Tracker_Raw,36793036149F,5.291,2.396,1.5,2024-05-17T19:37:53.163267Z
Tracker_Raw,36793036149F,5.319,2.565,1.5,2024-05-17T19:37:53.410591Z
Tracker_Raw,36793036149F,5.359,2.698,1.5,2024-05-17T19:37:53.658528Z
Tracker_Raw,36793036149F,5.355,2.826,1.5,2024-05-17T19:37:53.901486Z
Tracker_Raw,36793036149F,5.309,2.998,1.5,2024-05-17T19:37:54.148050Z
Tracker_Raw,36793036149F,5.298,3.135,1.5,2024-05-17T19:37:54.435929Z
Tracker_Raw,36793036149F,5.298,3.171,1.5,2024-05-17T19:37:54.681672Z
Tracker_Raw,36793036149F,5.338,3.22,1.5,2024-05-17T19:37:54.929202Z
Tracker_Raw,36793036149F,5.368,3.252,1.5,2024-05-17T19:37:55.178688Z
Tracker_Raw,36793036149F,5.39,3.308,1.5,2024-05-17T19:37:55.415620Z
Tracker_Raw,36793036149F,5.411,3.338,1.5,2024-05-17T19:37:55.702743Z
