tracker,id,x,y,z,timestamp
Tracker_Raw,36793036149F,0.773,0.141,1.5,2024-05-17T19:26:52.423100Z
Tracker_Raw,36793036149F,0.778,0.145,1.5,2024-05-17T19:26:52.715368Z
Tracker_Raw,36793036149F,0.772,0.156,1.5,2024-05-17T19:26:52.960423Z
Tracker_Raw,36793036149F,0.771,0.161,1.5,2024-05-17T19:26:53.201155Z
Tracker_Raw,36793036149F,0.766,0.16,1.5,2024-05-17T19:26:53.448675Z
Tracker_Raw,36793036149F,0.771,0.148,1.5,2024-05-17T19:26:53.692225Z
Tracker_Raw,36793036149F,0.772,0.145,1.5,2024-05-17T19:26:53.977296Z
Tracker_Raw,36793036149F,0.778,0.151,1.5,2024-05-17T19:26:54.223148Z
Tracker_Raw,36793036149F,0.772,0.151,1.5,2024-05-17T19:26:54.470097Z
Tracker_Raw,36793036149F,0.784,0.152,1.5,2024-05-17T19:26:54.713204Z
Tracker_Raw,36793036149F,0.783,0.162,1.5,2024-05-17T19:26:54.976001Z
Tracker_Raw,36793036149F,0.783,0.155,1.5,2024-05-17T19:26:55.259755Z
Tracker_Raw,36793036149F,0.79,0.157,1.5,2024-05-17T19:26:55.507810Z
Tracker_Raw,36793036149F,0.773,0.16,1.5,2024-05-17T19:26:55.757602Z
Tracker_Raw,36793036149F,0.77,0.161,1.5,2024-05-17T19:26:56.001149Z
Tracker_Raw,36793036149F,0.781,0.16,1.5,2024-05-17T19:26:56.247741Z
Tracker_Raw,36793036149F,0.785,0.161,1.5,2024-05-17T19:26:56.540372Z
Tracker_Raw,36793036149F,0.784,0.15,1.5,2024-05-17T19:26:56.788265Z
Tracker_Raw,36793036149F,0.775,0.147,1.5,2024-05-17T19:26:57.030745Z
Tracker_Raw,36793036149F,0.785,0.148,1.5,2024-05-17T19:26:57.279820Z
Tracker_Raw,36793036149F,0.778,0.141,1.5,2024-05-17T19:26:57.524432Z
Tracker_Raw,36793036149F,0.784,0.139,1.5,2024-05-17T19:26:57.818225Z
Tracker_Raw,36793036149F,0.778,0.139,1.5,2024-05-17T19:26:58.071730Z
Tracker_Raw,36793036149F,0.786,0.149,1.5,2024-05-17T19:26:58.320258Z
Tracker_Raw,36793036149F,0.785,0.147,1.5,2024-05-17T19:26:58.563890Z
Tracker_Raw,36793036149F,0.787,0.138,1.5,2024-05-17T19:26:58.814104Z
Tracker_Raw,36793036149F,0.784,0.141,1.5,2024-05-17T19:26:59.103321Z
Tracker_Raw,36793036149F,0.776,0.151,1.5,2024-05-17T19:26:59.350602Z
Tracker_Raw,36793036149F,0.777,0.149,1.5,2024-05-17T19:26:59.597319Z
Tracker_Raw,36793036149F,0.771,0.158,1.5,2024-05-17T19:26:59.841826Z
Tracker_Raw,36793036149F,0.775,0.157,1.5,2024-05-17T19:27:00.091302Z
Tracker_Raw,36793036149F,0.775,0.159,1.5,2024-05-17T19:27:00.379092Z
Tracker_Raw,36793036149F,0.777,0.167,1.5,2024-05-17T19:27:00.624841Z
Tracker_Raw,36793036149F,0.79,0.152,1.5,2024-05-17T19:27:00.864772Z
Tracker_Raw,36793036149F,0.783,0.145,1.5,2024-05-17T19:27:01.106631Z
Tracker_Raw,36793036149F,0.767,0.15,1.5,2024-05-17T19:27:01.350526Z
Tracker_Raw,36793036149F,0.761,0.162,1.5,2024-05-17T19:27:01.641139Z
Tracker_Raw,36793036149F,0.768,0.16,1.5,2024-05-17T19:27:01.886735Z
Tracker_Raw,36793036149F,0.77,0.167,1.5,2024-05-17T19:27:02.133183Z
Tracker_Raw,36793036149F,0.778,0.161,1.5,2024-05-17T19:27:02.374795Z
Tracker_Raw,36793036149F,0.78,0.151,1.5,2024-05-17T19:27:02.636351Z
Tracker_Raw,36793036149F,0.789,0.145,1.5,2024-05-17T19:27:02.923817Z
Tracker_Raw,36793036149F,0.785,0.135,1.5,2024-05-17T19:27:03.173352Z
Tracker_Raw,36793036149F,0.791,0.136,1.5,2024-05-17T19:27:03.420141Z
Tracker_Raw,36793036149F,0.783,0.144,1.5,2024-05-17T19:27:03.669653Z
Tracker_Raw,36793036149F,0.772,0.149,1.5,2024-05-17T19:27:03.933440Z
Tracker_Raw,36793036149F,0.771,0.149,1.5,2024-05-17T19:27:04.220414Z
Tracker_Raw,36793036149F,0.766,0.155,1.5,2024-05-17T19:27:04.463226Z
Tracker_Raw,36793036149F,0.774,0.164,1.5,2024-05-17T19:27:04.705576Z
Tracker_Raw,36793036149F,0.79,0.16,1.5,2024-05-17T19:27:04.954111Z
Tracker_Raw,36793036149F,0.794,0.149,1.5,2024-05-17T19:27:05.199856Z
Tracker_Raw,36793036149F,0.789,0.141,1.5,2024-05-17T19:27:05.485267Z
Tracker_Raw,36793036149F,0.785,0.14,1.5,2024-05-17T19:27:05.730784Z
Tracker_Raw,36793036149F,0.779,0.152,1.5,2024-05-17T19:27:05.981118Z
Tracker_Raw,36793036149F,0.767,0.159,1.5,2024-05-17T19:27:06.227688Z
Tracker_Raw,36793036149F,0.766,0.153,1.5,2024-05-17T19:27:06.479423Z
Tracker_Raw,36793036149F,0.777,0.149,1.5,2024-05-17T19:27:06.762487Z
Tracker_Raw,36793036149F,0.764,0.143,1.5,2024-05-17T19:27:07.016382Z
Tracker_Raw,36793036149F,0.755,0.165,1.5,2024-05-17T19:27:07.261299Z
Tracker_Raw,36793036149F,0.769,0.174,1.5,2024-05-17T19:27:07.502038Z
