tracker,id,x,y,z,timestamp
Tracker,36793036149F,5.491,3.328,1.5,2024-05-17T18:58:28.967129Z
Tracker,36793036149F,5.483,3.318,1.5,2024-05-17T18:58:29.209811Z
Tracker,36793036149F,5.487,3.312,1.5,2024-05-17T18:58:29.492084Z
Tracker,36793036149F,5.489,3.329,1.5,2024-05-17T18:58:29.741488Z
Tracker,36793036149F,5.479,3.32,1.5,2024-05-17T18:58:29.987027Z
Tracker,36793036149F,5.482,3.314,1.5,2024-05-17T18:58:30.234700Z
Tracker,36793036149F,5.481,3.332,1.5,2024-05-17T18:58:30.479457Z
Tracker,36793036149F,5.481,3.333,1.5,2024-05-17T18:58:30.769488Z
Tracker,36793036149F,5.477,3.33,1.5,2024-05-17T18:58:31.014166Z
Tracker,36793036149F,5.487,3.331,1.5,2024-05-17T18:58:31.263690Z
Tracker,36793036149F,5.483,3.326,1.5,2024-05-17T18:58:31.511716Z
Tracker,36793036149F,5.486,3.324,1.5,2024-05-17T18:58:31.754893Z
Tracker,36793036149F,5.487,3.325,1.5,2024-05-17T18:58:32.038153Z
Tracker,36793036149F,5.488,3.325,1.5,2024-05-17T18:58:32.288091Z
Tracker,36793036149F,5.489,3.326,1.5,2024-05-17T18:58:32.531900Z
Tracker,36793036149F,5.486,3.33,1.5,2024-05-17T18:58:32.777311Z
Tracker,36793036149F,5.486,3.32,1.5,2024-05-17T18:58:33.029106Z
Tracker,36793036149F,5.491,3.324,1.5,2024-05-17T18:58:33.321712Z
Tracker,36793036149F,5.485,3.322,1.5,2024-05-17T18:58:33.568785Z
Tracker,36793036149F,5.479,3.327,1.5,2024-05-17T18:58:33.808375Z
Tracker,36793036149F,5.494,3.309,1.5,2024-05-17T18:58:34.056162Z
Tracker,36793036149F,5.486,3.309,1.5,2024-05-17T18:58:34.327612Z
Tracker,36793036149F,5.497,3.302,1.5,2024-05-17T18:58:34.617764Z
Tracker,36793036149F,5.498,3.304,1.5,2024-05-17T18:58:34.860238Z
Tracker,36793036149F,5.498,3.306,1.5,2024-05-17T18:58:35.105758Z
Tracker,36793036149F,5.496,3.313,1.5,2024-05-17T18:58:35.353181Z
Tracker,36793036149F,5.491,3.317,1.5,2024-05-17T18:58:35.602590Z
Tracker,36793036149F,5.484,3.315,1.5,2024-05-17T18:58:35.890253Z
Tracker,36793036149F,5.486,3.319,1.5,2024-05-17T18:58:36.138173Z
Tracker,36793036149F,5.483,3.321,1.5,2024-05-17T18:58:36.385020Z
Tracker,36793036149F,5.497,3.314,1.5,2024-05-17T18:58:36.627236Z
Tracker,36793036149F,5.499,3.311,1.5,2024-05-17T18:58:36.883417Z
Tracker,36793036149F,5.507,3.315,1.5,2024-05-17T18:58:37.176062Z
Tracker,36793036149F,5.501,3.322,1.5,2024-05-17T18:58:37.420834Z
Tracker,36793036149F,5.498,3.323,1.5,2024-05-17T18:58:37.668461Z
Tracker,36793036149F,5.497,3.33,1.5,2024-05-17T18:58:37.908555Z
Tracker,36793036149F,5.494,3.328,1.5,2024-05-17T18:58:38.173453Z
Tracker,36793036149F,5.497,3.328,1.5,2024-05-17T18:58:38.458180Z
Tracker,36793036149F,5.488,3.336,1.5,2024-05-17T18:58:38.703745Z
Tracker,36793036149F,5.495,3.33,1.5,2024-05-17T18:58:38.947743Z
Tracker,36793036149F,5.491,3.331,1.5,2024-05-17T18:58:39.191503Z
Tracker,36793036149F,5.489,3.326,1.5,2024-05-17T18:58:39.435295Z
Tracker,36793036149F,5.488,3.317,1.5,2024-05-17T18:58:39.722829Z
Tracker,36793036149F,5.504,3.31,1.5,2024-05-17T18:58:39.972416Z
Tracker,36793036149F,5.499,3.33,1.5,2024-05-17T18:58:40.214478Z
Tracker,36793036149F,5.504,3.329,1.5,2024-05-17T18:58:40.462521Z
Tracker,36793036149F,5.498,3.327,1.5,2024-05-17T18:58:40.715280Z
Tracker,36793036149F,5.495,3.337,1.5,2024-05-17T18:58:41.006764Z
Tracker,36793036149F,5.503,3.331,1.5,2024-05-17T18:58:41.254187Z
Tracker,36793036149F,5.491,3.343,1.5,2024-05-17T18:58:41.499943Z
Tracker,36793036149F,5.485,3.339,1.5,2024-05-17T18:58:41.747525Z
Tracker,36793036149F,5.501,3.326,1.5,2024-05-17T18:58:42.005674Z
Tracker,36793036149F,5.502,3.314,1.5,2024-05-17T18:58:42.291449Z
Tracker,36793036149F,5.489,3.316,1.5,2024-05-17T18:58:42.537914Z
Tracker,36793036149F,5.488,3.325,1.5,2024-05-17T18:58:42.788298Z
Tracker,36793036149F,5.491,3.321,1.5,2024-05-17T18:58:43.031132Z
Tracker,36793036149F,5.506,3.33,1.5,2024-05-17T18:58:43.281805Z
Tracker,36793036149F,5.529,3.346,1.5,2024-05-17T18:58:43.569035Z
Tracker,36793036149F,5.512,3.338,1.5,2024-05-17T18:58:43.806588Z
Tracker,36793036149F,5.501,3.329,1.5,2024-05-17T18:58:44.061318Z
Tracker,36793036149F,5.485,3.322,1.5,2024-05-17T18:58:44.308412Z
Tracker,36793036149F,5.478,3.313,1.5,2024-05-17T18:58:44.571084Z
Tracker,36793036149F,5.478,3.32,1.5,2024-05-17T18:58:44.856720Z
Tracker,36793036149F,5.488,3.318,1.5,2024-05-17T18:58:45.103561Z
Tracker,36793036149F,5.501,3.323,1.5,2024-05-17T18:58:45.346263Z
Tracker,36793036149F,5.503,3.329,1.5,2024-05-17T18:58:45.592532Z
