tracker,id,x,y,z,timestamp
Tracker_Raw,36793036149F,3.571,1.983,1.5,2024-05-17T20:34:04.458287Z
Tracker_Raw,36793036149F,3.565,1.971,1.5,2024-05-17T20:34:04.749402Z
Tracker_Raw,36793036149F,3.58,1.987,1.5,2024-05-17T20:34:05.000047Z
Tracker_Raw,36793036149F,3.576,1.976,1.5,2024-05-17T20:34:05.241945Z
Tracker_Raw,36793036149F,3.569,2.008,1.5,2024-05-17T20:34:05.485648Z
Tracker_Raw,36793036149F,3.573,1.955,1.5,2024-05-17T20:34:05.728662Z
Tracker_Raw,36793036149F,3.532,1.85,1.5,2024-05-17T20:34:06.012529Z
Tracker_Raw,36793036149F,3.461,1.913,1.5,2024-05-17T20:34:06.254290Z
Tracker_Raw,36793036149F,3.507,1.806,1.5,2024-05-17T20:34:06.498648Z
Tracker_Raw,36793036149F,3.502,1.731,1.5,2024-05-17T20:34:06.753841Z
Tracker_Raw,36793036149F,3.483,1.733,1.5,2024-05-17T20:34:07.001620Z
Tracker_Raw,36793036149F,3.505,1.847,1.5,2024-05-17T20:34:07.286410Z
Tracker_Raw,36793036149F,3.652,1.927,1.5,2024-05-17T20:34:07.525533Z
Tracker_Raw,36793036149F,3.839,2.031,1.5,2024-05-17T20:34:07.781224Z
Tracker_Raw,36793036149F,3.659,1.99,1.5,2024-05-17T20:34:08.024529Z
Tracker_Raw,36793036149F,3.638,1.989,1.5,2024-05-17T20:34:08.264447Z
Tracker_Raw,36793036149F,3.607,2.016,1.5,2024-05-17T20:34:08.557310Z
Tracker_Raw,36793036149F,3.558,1.972,1.5,2024-05-17T20:34:08.805512Z
Tracker_Raw,36793036149F,3.512,1.854,1.5,2024-05-17T20:34:09.043051Z
Tracker_Raw,36793036149F,3.38,1.869,1.5,2024-05-17T20:34:09.298649Z
Tracker_Raw,36793036149F,3.371,1.875,1.5,2024-05-17T20:34:09.533295Z
Tracker_Raw,36793036149F,3.415,1.525,1.5,2024-05-17T20:34:09.828605Z
Tracker_Raw,36793036149F,3.491,1.471,1.5,2024-05-17T20:34:10.072277Z
Tracker_Raw,36793036149F,3.505,1.443,1.5,2024-05-17T20:34:10.315120Z
Tracker_Raw,36793036149F,3.615,1.697,1.5,2024-05-17T20:34:10.567784Z
Tracker_Raw,36793036149F,3.55,1.823,1.5,2024-05-17T20:34:10.831235Z
Tracker_Raw,36793036149F,3.526,1.843,1.5,2024-05-17T20:34:11.122171Z
Tracker_Raw,36793036149F,3.646,1.811,1.5,2024-05-17T20:34:11.375523Z
Tracker_Raw,36793036149F,3.653,1.785,1.5,2024-05-17T20:34:11.625274Z
Tracker_Raw,36793036149F,3.571,1.829,1.5,2024-05-17T20:34:11.876771Z
Tracker_Raw,36793036149F,3.542,1.844,1.5,2024-05-17T20:34:12.121415Z
Tracker_Raw,36793036149F,3.542,1.94,1.5,2024-05-17T20:34:12.381150Z
Tracker_Raw,36793036149F,3.529,1.916,1.5,2024-05-17T20:34:12.624823Z
Tracker_Raw,36793036149F,3.666,1.984,1.5,2024-05-17T20:34:12.874876Z
Tracker_Raw,36793036149F,3.576,1.977,1.5,2024-05-17T20:34:13.121586Z
Tracker_Raw,36793036149F,3.557,1.943,1.5,2024-05-17T20:34:13.358419Z
Tracker_Raw,36793036149F,3.581,2.001,1.5,2024-05-17T20:34:13.900063Z
Tracker_Raw,36793036149F,3.539,2.032,1.5,2024-05-17T20:34:14.142055Z
Tracker_Raw,36793036149F,3.618,2.099,1.5,2024-05-17T20:34:14.397681Z
Tracker_Raw,36793036149F,3.561,1.916,1.5,2024-05-17T20:34:14.636431Z
Tracker_Raw,36793036149F,3.498,1.844,1.5,2024-05-17T20:34:14.920014Z
Tracker_Raw,36793036149F,3.479,1.964,1.5,2024-05-17T20:34:15.165303Z
Tracker_Raw,36793036149F,3.428,1.946,1.5,2024-05-17T20:34:15.409813Z
Tracker_Raw,36793036149F,3.386,1.904,1.5,2024-05-17T20:34:15.644913Z
Tracker_Raw,36793036149F,3.477,1.986,1.5,2024-05-17T20:34:15.887283Z
Tracker_Raw,36793036149F,3.542,1.958,1.5,2024-05-17T20:34:16.178058Z
Tracker_Raw,36793036149F,3.632,1.306,1.5,2024-05-17T20:34:16.424005Z
Tracker_Raw,36793036149F,3.529,1.497,1.5,2024-05-17T20:34:16.664413Z
Tracker_Raw,36793036149F,3.505,1.217,1.5,2024-05-17T20:34:16.912583Z
Tracker_Raw,36793036149F,3.584,1.032,1.5,2024-05-17T20:34:17.158004Z
Tracker_Raw,36793036149F,3.537,1.351,1.5,2024-05-17T20:34:17.447216Z
Tracker_Raw,36793036149F,3.525,1.619,1.5,2024-05-17T20:34:17.692497Z
Tracker_Raw,36793036149F,3.444,1.679,1.5,2024-05-17T20:34:17.941522Z
Tracker_Raw,36793036149F,3.544,1.7,1.5,2024-05-17T20:34:18.183819Z
Tracker_Raw,36793036149F,3.602,1.762,1.5,2024-05-17T20:34:18.437277Z
Tracker_Raw,36793036149F,3.601,1.703,1.5,2024-05-17T20:34:18.722075Z
Tracker_Raw,36793036149F,3.576,1.499,1.5,2024-05-17T20:34:18.964967Z
Tracker_Raw,36793036149F,3.545,1.656,1.5,2024-05-17T20:34:19.206934Z
Tracker_Raw,36793036149F,3.581,1.829,1.5,2024-05-17T20:34:19.461614Z
Tracker_Raw,36793036149F,3.543,1.859,1.5,2024-05-17T20:34:19.701047Z
Tracker_Raw,36793036149F,3.567,1.914,1.5,2024-05-17T20:34:19.979445Z
Tracker_Raw,36793036149F,3.508,1.891,1.5,2024-05-17T20:34:20.228424Z
Tracker_Raw,36793036149F,3.536,1.903,1.5,2024-05-17T20:34:20.475368Z
Tracker_Raw,36793036149F,3.581,1.889,1.5,2024-05-17T20:34:20.716316Z
Tracker_Raw,36793036149F,3.612,1.908,1.5,2024-05-17T20:34:20.958848Z
Tracker_Raw,36793036149F,3.607,1.885,1.5,2024-05-17T20:34:21.240698Z
Tracker_Raw,36793036149F,3.615,1.921,1.5,2024-05-17T20:34:21.488673Z
Tracker_Raw,36793036149F,3.584,2.002,1.5,2024-05-17T20:34:21.735590Z
Tracker_Raw,36793036149F,3.548,2.006,1.5,2024-05-17T20:34:21.982441Z
Tracker_Raw,36793036149F,3.482,2.017,1.5,2024-05-17T20:34:22.229195Z
Tracker_Raw,36793036149F,3.553,1.779,1.5,2024-05-17T20:34:22.513345Z
Tracker_Raw,36793036149F,3.542,1.806,1.5,2024-05-17T20:34:22.753259Z
Tracker_Raw,36793036149F,3.527,1.842,1.5,2024-05-17T20:34:23.012439Z
Tracker_Raw,36793036149F,3.584,1.788,1.5,2024-05-17T20:34:23.274349Z
Tracker_Raw,36793036149F,3.547,1.847,1.5,2024-05-17T20:34:23.567625Z
Tracker_Raw,36793036149F,3.494,1.974,1.5,2024-05-17T20:34:23.856091Z
Tracker_Raw,36793036149F,3.483,1.953,1.5,2024-05-17T20:34:24.101814Z
Tracker_Raw,36793036149F,3.557,1.907,1.5,2024-05-17T20:34:24.358516Z
Tracker_Raw,36793036149F,3.601,1.798,1.5,2024-05-17T20:34:24.601990Z
Tracker_Raw,36793036149F,3.502,1.631,1.5,2024-05-17T20:34:24.847192Z
Tracker_Raw,36793036149F,3.479,1.699,1.5,2024-05-17T20:34:25.136357Z
Tracker_Raw,36793036149F,3.483,1.777,1.5,2024-05-17T20:34:25.387295Z
Tracker_Raw,36793036149F,3.458,1.943,1.5,2024-05-17T20:34:25.629879Z
Tracker_Raw,36793036149F,3.321,1.957,1.5,2024-05-17T20:34:25.884687Z
Tracker_Raw,36793036149F,3.427,1.988,1.5,2024-05-17T20:34:26.118566Z
Tracker_Raw,36793036149F,3.543,1.826,1.5,2024-05-17T20:34:26.411738Z
Tracker_Raw,36793036149F,3.554,1.786,1.5,2024-05-17T20:34:26.664499Z
Tracker_Raw,36793036149F,3.509,1.749,1.5,2024-05-17T20:34:26.912166Z
Tracker_Raw,36793036149F,3.54,1.788,1.5,2024-05-17T20:34:27.159911Z
