tracker,id,x,y,z,timestamp
Filtered,36793036149F,6.155389,3.438251,1.5,2024-05-18T01:56:43.524177Z
Raweee,36793036149F,6.,3.436,1.5,2024-05-18T01:56:43.524177Z
Filtered,36793036149F,6.16615,3.420018,1.5,2024-05-18T01:56:43.760852Z
Raweee,36793036149F,6.188,3.383,1.5,2024-05-18T01:56:43.760852Z
Filtered,36793036149F,6.131121,3.426282,1.5,2024-05-18T01:56:44.018845Z
Raweee,36793036149F,6.06,3.439,1.5,2024-05-18T01:56:44.018845Z
Filtered,36793036149F,6.117881,3.427179,1.5,2024-05-18T01:56:44.261051Z
Raweee,36793036149F,6.091,3.429,1.5,2024-05-18T01:56:44.261051Z
Filtered,36793036149F,6.23837,3.40006,1.5,2024-05-18T01:56:44.506918Z
Raweee,36793036149F,6.483,3.345,1.5,2024-05-18T01:56:44.506918Z
Filtered,36793036149F,6.274218,3.34295,1.5,2024-05-18T01:56:44.791087Z
Raweee,36793036149F,6.347,3.227,1.5,2024-05-18T01:56:44.791087Z
Filtered,36793036149F,6.258306,3.266737,1.5,2024-05-18T01:56:45.034066Z
Raweee,36793036149F,6.226,3.112,1.5,2024-05-18T01:56:45.034066Z
Filtered,36793036149F,6.187585,3.180694,1.5,2024-05-18T01:56:45.272736Z
Raweee,36793036149F,6.044,3.006,1.5,2024-05-18T01:56:45.272736Z
Filtered,36793036149F,6.080142,3.088065,1.5,2024-05-18T01:56:45.525978Z
Raweee,36793036149F,6.888,2.845,1.5,2024-05-18T01:56:45.525978Z
Filtered,36793036149F,5.948095,2.991023,1.5,2024-05-18T01:56:45.760072Z
Raweee,36793036149F,6.799,2.79,1.5,2024-05-18T01:56:45.760072Z
Filtered,36793036149F,5.799564,2.891026,1.5,2024-05-18T01:56:46.043896Z
Raweee,36793036149F,6.746,2.689,1.5,2024-05-18T01:56:46.043896Z
Filtered,36793036149F,6.198018,2.800597,1.5,2024-05-18T01:56:46.291051Z
Raweee,36793036149F,7.007,2.617,1.5,2024-05-18T01:56:46.291051Z
Filtered,36793036149F,6.421092,2.64992,1.5,2024-05-18T01:56:46.775067Z
Raweee,36793036149F,6.874,2.344,1.5,2024-05-18T01:56:46.775067Z
Filtered,36793036149F,6.526662,2.458876,1.5,2024-05-18T01:56:47.018992Z
