tracker,id,x,y,z,timestamp
Filtered,36793036149F,3.758542,4.937772,1.5,2024-05-18T02:07:33.001418Z
Raweee,36793036149F,3.764,4.755,1.5,2024-05-18T02:07:33.001418Z
Filtered,36793036149F,3.784103,4.853367,1.5,2024-05-18T02:07:33.252496Z
Raweee,36793036149F,3.836,4.682,1.5,2024-05-18T02:07:33.252496Z
Filtered,36793036149F,3.856669,4.770746,1.5,2024-05-18T02:07:33.535672Z
Raweee,36793036149F,4.004,4.603,1.5,2024-05-18T02:07:33.535672Z
Filtered,36793036149F,3.932018,4.69031,1.5,2024-05-18T02:07:33.782935Z
Raweee,36793036149F,4.085,4.527,1.5,2024-05-18T02:07:33.782935Z
Filtered,36793036149F,3.995702,4.604408,1.5,2024-05-18T02:07:34.035374Z
Raweee,36793036149F,4.125,4.43,1.5,2024-05-18T02:07:34.035374Z
Filtered,36793036149F,4.016921,4.539923,1.5,2024-05-18T02:07:34.283845Z
Raweee,36793036149F,4.06,4.409,1.5,2024-05-18T02:07:34.283845Z
Filtered,36793036149F,4.018927,4.481538,1.5,2024-05-18T02:07:34.527462Z
Raweee,36793036149F,4.023,4.363,1.5,2024-05-18T02:07:34.527462Z
Filtered,36793036149F,4.016971,4.419981,1.5,2024-05-18T02:07:34.808548Z
Raweee,36793036149F,4.013,4.295,1.5,2024-05-18T02:07:34.808548Z
Filtered,36793036149F,4.023911,4.355637,1.5,2024-05-18T02:07:35.051964Z
Raweee,36793036149F,4.038,4.225,1.5,2024-05-18T02:07:35.051964Z
Filtered,36793036149F,3.97939,4.319457,1.5,2024-05-18T02:07:35.296909Z
Raweee,36793036149F,3.889,4.246,1.5,2024-05-18T02:07:35.296909Z
Filtered,36793036149F,3.917221,4.292906,1.5,2024-05-18T02:07:35.540837Z
Raweee,36793036149F,3.791,4.239,1.5,2024-05-18T02:07:35.540837Z
Filtered,36793036149F,3.925728,4.218027,1.5,2024-05-18T02:07:35.784592Z
Raweee,36793036149F,3.943,4.066,1.5,2024-05-18T02:07:35.784592Z
Filtered,36793036149F,3.940338,4.132548,1.5,2024-05-18T02:07:36.071681Z
Raweee,36793036149F,3.97,3.959,1.5,2024-05-18T02:07:36.071681Z
Filtered,36793036149F,3.967946,4.034357,1.5,2024-05-18T02:07:36.311418Z
Raweee,36793036149F,4.024,3.835,1.5,2024-05-18T02:07:36.311418Z
Filtered,36793036149F,3.928034,3.966259,1.5,2024-05-18T02:07:36.558202Z
Raweee,36793036149F,3.847,3.828,1.5,2024-05-18T02:07:36.558202Z
Filtered,36793036149F,3.875223,3.901164,1.5,2024-05-18T02:07:36.799074Z
Raweee,36793036149F,3.768,3.769,1.5,2024-05-18T02:07:36.799074Z
Filtered,36793036149F,3.879769,3.79947,1.5,2024-05-18T02:07:37.047363Z
Raweee,36793036149F,3.889,3.593,1.5,2024-05-18T02:07:37.047363Z
Filtered,36793036149F,3.913835,3.678535,1.5,2024-05-18T02:07:37.330001Z
Raweee,36793036149F,3.983,3.433,1.5,2024-05-18T02:07:37.330001Z
Filtered,36793036149F,3.95085,3.551968,1.5,2024-05-18T02:07:37.575529Z
Raweee,36793036149F,4.026,3.295,1.5,2024-05-18T02:07:37.575529Z
Filtered,36793036149F,3.930439,3.464529,1.5,2024-05-18T02:07:37.822483Z
Raweee,36793036149F,3.889,3.287,1.5,2024-05-18T02:07:37.822483Z
Filtered,36793036149F,3.880794,3.408914,1.5,2024-05-18T02:07:38.064913Z
Raweee,36793036149F,3.78,3.296,1.5,2024-05-18T02:07:38.064913Z
Filtered,36793036149F,3.836642,3.356473,1.5,2024-05-18T02:07:38.311860Z
Raweee,36793036149F,3.747,3.25,1.5,2024-05-18T02:07:38.311860Z
Filtered,36793036149F,3.80244,3.294937,1.5,2024-05-18T02:07:38.595890Z
Raweee,36793036149F,3.733,3.17,1.5,2024-05-18T02:07:38.595890Z
Filtered,36793036149F,3.811205,3.188038,1.5,2024-05-18T02:07:38.843294Z
Raweee,36793036149F,3.829,2.971,1.5,2024-05-18T02:07:38.843294Z
Filtered,36793036149F,3.815427,3.081105,1.5,2024-05-18T02:07:39.091200Z
Raweee,36793036149F,3.824,2.864,1.5,2024-05-18T02:07:39.091200Z
Filtered,36793036149F,3.813966,2.97184,1.5,2024-05-18T02:07:39.333584Z
Raweee,36793036149F,3.811,2.75,1.5,2024-05-18T02:07:39.333584Z
Filtered,36793036149F,3.812327,2.881803,1.5,2024-05-18T02:07:39.577198Z
Raweee,36793036149F,3.809,2.699,1.5,2024-05-18T02:07:39.577198Z
Filtered,36793036149F,3.794069,2.829728,1.5,2024-05-18T02:07:39.861893Z
Raweee,36793036149F,3.757,2.724,1.5,2024-05-18T02:07:39.861893Z
Filtered,36793036149F,3.762696,2.782628,1.5,2024-05-18T02:07:40.111386Z
Raweee,36793036149F,3.699,2.687,1.5,2024-05-18T02:07:40.111386Z
Filtered,36793036149F,3.732437,2.727971,1.5,2024-05-18T02:07:40.349226Z
Raweee,36793036149F,3.671,2.617,1.5,2024-05-18T02:07:40.349226Z
Filtered,36793036149F,3.720743,2.64977,1.5,2024-05-18T02:07:40.595266Z
Raweee,36793036149F,3.697,2.491,1.5,2024-05-18T02:07:40.595266Z
Filtered,36793036149F,3.727758,2.565036,1.5,2024-05-18T02:07:40.842794Z
Raweee,36793036149F,3.742,2.393,1.5,2024-05-18T02:07:40.842794Z
Filtered,36793036149F,3.735428,2.474934,1.5,2024-05-18T02:07:41.145369Z
Raweee,36793036149F,3.751,2.292,1.5,2024-05-18T02:07:41.145369Z
Filtered,36793036149F,3.743536,2.381566,1.5,2024-05-18T02:07:41.391950Z
Raweee,36793036149F,3.76,2.192,1.5,2024-05-18T02:07:41.391950Z
Filtered,36793036149F,3.735109,2.316039,1.5,2024-05-18T02:07:41.633369Z
Raweee,36793036149F,3.718,2.183,1.5,2024-05-18T02:07:41.633369Z
Filtered,36793036149F,3.702073,2.251676,1.5,2024-05-18T02:07:41.879483Z
Raweee,36793036149F,3.635,2.121,1.5,2024-05-18T02:07:41.879483Z
Filtered,36793036149F,3.669379,2.182153,1.5,2024-05-18T02:07:42.120674Z
Raweee,36793036149F,3.603,2.041,1.5,2024-05-18T02:07:42.120674Z
Filtered,36793036149F,3.661004,2.110163,1.5,2024-05-18T02:07:42.413393Z
Raweee,36793036149F,3.644,1.964,1.5,2024-05-18T02:07:42.413393Z
Filtered,36793036149F,3.646153,2.031899,1.5,2024-05-18T02:07:42.658046Z
Raweee,36793036149F,3.616,1.873,1.5,2024-05-18T02:07:42.658046Z
Filtered,36793036149F,3.648742,1.940852,1.5,2024-05-18T02:07:42.901396Z
Raweee,36793036149F,3.654,1.756,1.5,2024-05-18T02:07:42.901396Z
Filtered,36793036149F,3.652787,1.854441,1.5,2024-05-18T02:07:43.147489Z
Raweee,36793036149F,3.661,1.679,1.5,2024-05-18T02:07:43.147489Z
Filtered,36793036149F,3.661108,1.751995,1.5,2024-05-18T02:07:43.398780Z
Raweee,36793036149F,3.678,1.544,1.5,2024-05-18T02:07:43.398780Z
Filtered,36793036149F,3.668992,1.666527,1.5,2024-05-18T02:07:43.682437Z
Raweee,36793036149F,3.685,1.493,1.5,2024-05-18T02:07:43.682437Z
Filtered,36793036149F,3.653155,1.567023,1.5,2024-05-18T02:07:43.922626Z
Raweee,36793036149F,3.621,1.365,1.5,2024-05-18T02:07:43.922626Z
Filtered,36793036149F,3.639904,1.453495,1.5,2024-05-18T02:07:44.158394Z
Raweee,36793036149F,3.613,1.223,1.5,2024-05-18T02:07:44.158394Z
Filtered,36793036149F,3.639605,1.363242,1.5,2024-05-18T02:07:44.407133Z
