tracker,id,x,y,z,timestamp
Filtered,36793036149F,3.776106,2.222716,1.5,2024-05-18T02:10:29.734847Z
Raweee,36793036149F,3.762,2.189,1.5,2024-05-18T02:10:29.734847Z
Filtered,36793036149F,3.767491,2.18981,1.5,2024-05-18T02:10:29.979608Z
Raweee,36793036149F,3.75,2.123,1.5,2024-05-18T02:10:29.979608Z
Filtered,36793036149F,3.760069,2.160173,1.5,2024-05-18T02:10:30.511118Z
Raweee,36793036149F,3.745,2.1,1.5,2024-05-18T02:10:30.511118Z
Filtered,36793036149F,3.753446,2.132726,1.5,2024-05-18T02:10:30.755916Z
Raweee,36793036149F,3.797,2.691,1.5,2024-05-18T02:10:30.755916Z
Filtered,36793036149F,3.747359,2.106746,1.5,2024-05-18T02:10:30.998172Z
Raweee,36793036149F,3.901,2.864,1.5,2024-05-18T02:10:30.998172Z
Filtered,36793036149F,3.76902,2.2352,1.5,2024-05-18T02:10:31.770255Z
Raweee,36793036149F,3.813,2.496,1.5,2024-05-18T02:10:31.770255Z
Filtered,36793036149F,3.769344,2.260214,1.5,2024-05-18T02:10:32.017343Z
Raweee,36793036149F,3.77,2.311,1.5,2024-05-18T02:10:32.017343Z
Filtered,36793036149F,3.76098,2.240673,1.5,2024-05-18T02:10:32.263766Z
Raweee,36793036149F,3.744,2.201,1.5,2024-05-18T02:10:32.263766Z
Filtered,36793036149F,3.729967,2.208771,1.5,2024-05-18T02:10:32.515141Z
Raweee,36793036149F,3.667,2.144,1.5,2024-05-18T02:10:32.515141Z
Filtered,36793036149F,3.715128,2.184757,1.5,2024-05-18T02:10:32.805798Z
Raweee,36793036149F,3.685,2.136,1.5,2024-05-18T02:10:32.805798Z
Filtered,36793036149F,3.705516,2.163717,1.5,2024-05-18T02:10:33.050725Z
Raweee,36793036149F,3.686,2.121,1.5,2024-05-18T02:10:33.050725Z
Filtered,36793036149F,3.700395,2.14302,1.5,2024-05-18T02:10:33.302005Z
Raweee,36793036149F,3.69,2.101,1.5,2024-05-18T02:10:33.302005Z
Filtered,36793036149F,3.700925,2.111664,1.5,2024-05-18T02:10:33.549714Z
Raweee,36793036149F,3.702,2.048,1.5,2024-05-18T02:10:33.549714Z
Filtered,36793036149F,3.69534,2.083395,1.5,2024-05-18T02:10:36.907004Z
Raweee,36793036149F,3.684,2.026,1.5,2024-05-18T02:10:36.907004Z
Filtered,36793036149F,3.684998,2.065444,1.5,2024-05-18T02:10:37.145825Z
Raweee,36793036149F,3.664,2.029,1.5,2024-05-18T02:10:37.145825Z
Filtered,36793036149F,3.676418,2.055068,1.5,2024-05-18T02:10:37.436822Z
Raweee,36793036149F,3.659,2.034,1.5,2024-05-18T02:10:37.436822Z
Filtered,36793036149F,3.65318,2.028975,1.5,2024-05-18T02:10:37.695116Z
Raweee,36793036149F,3.606,1.976,1.5,2024-05-18T02:10:37.695116Z
Filtered,36793036149F,3.624081,1.985754,1.5,2024-05-18T02:10:37.938899Z
Raweee,36793036149F,3.565,1.898,1.5,2024-05-18T02:10:37.938899Z
Filtered,36793036149F,3.611184,1.982205,1.5,2024-05-18T02:10:38.188431Z
Raweee,36793036149F,3.585,1.975,1.5,2024-05-18T02:10:38.188431Z
Filtered,36793036149F,3.612113,1.994017,1.5,2024-05-18T02:10:38.433335Z
Raweee,36793036149F,3.614,2.018,1.5,2024-05-18T02:10:38.433335Z
Filtered,36793036149F,3.597556,1.998302,1.5,2024-05-18T02:10:38.706265Z
Raweee,36793036149F,3.568,2.007,1.5,2024-05-18T02:10:38.706265Z
Filtered,36793036149F,3.600012,2.038792,1.5,2024-05-18T02:10:38.953075Z
Raweee,36793036149F,3.605,2.121,1.5,2024-05-18T02:10:38.953075Z
Filtered,36793036149F,3.597368,2.054701,1.5,2024-05-18T02:10:39.201169Z
Raweee,36793036149F,3.592,2.087,1.5,2024-05-18T02:10:39.201169Z
Filtered,36793036149F,3.606817,2.060739,1.5,2024-05-18T02:10:39.439235Z
Raweee,36793036149F,3.626,2.073,1.5,2024-05-18T02:10:39.439235Z
Filtered,36793036149F,3.699937,2.103395,1.5,2024-05-18T02:10:39.683242Z
Raweee,36793036149F,3.889,2.19,1.5,2024-05-18T02:10:39.683242Z
Filtered,36793036149F,3.738898,2.109535,1.5,2024-05-18T02:10:39.981686Z
Raweee,36793036149F,3.818,2.122,1.5,2024-05-18T02:10:39.981686Z
Filtered,36793036149F,3.751802,2.102758,1.5,2024-05-18T02:10:40.227096Z
Raweee,36793036149F,3.778,2.089,1.5,2024-05-18T02:10:40.227096Z
Filtered,36793036149F,3.723157,2.087988,1.5,2024-05-18T02:10:40.471385Z
Raweee,36793036149F,3.665,2.058,1.5,2024-05-18T02:10:40.471385Z
Filtered,36793036149F,3.706275,2.075452,1.5,2024-05-18T02:10:40.716110Z
Raweee,36793036149F,3.672,2.05,1.5,2024-05-18T02:10:40.716110Z
Filtered,36793036149F,3.698264,2.067053,1.5,2024-05-18T02:10:40.964858Z
Raweee,36793036149F,3.682,2.05,1.5,2024-05-18T02:10:40.964858Z
Filtered,36793036149F,3.673427,2.052845,1.5,2024-05-18T02:10:41.254867Z
Raweee,36793036149F,3.623,2.024,1.5,2024-05-18T02:10:41.254867Z
Filtered,36793036149F,3.643256,2.041676,1.5,2024-05-18T02:10:41.493801Z
Raweee,36793036149F,3.582,2.019,1.5,2024-05-18T02:10:41.493801Z
Filtered,36793036149F,3.609512,2.032543,1.5,2024-05-18T02:10:41.737053Z
Raweee,36793036149F,3.783,2.702,1.5,2024-05-18T02:10:41.737053Z
Filtered,36793036149F,3.573373,2.024774,1.5,2024-05-18T02:10:42.242460Z
Raweee,36793036149F,4.083,2.544,1.5,2024-05-18T02:10:42.242460Z
Filtered,36793036149F,3.6937,2.124179,1.5,2024-05-18T02:10:42.532191Z
Raweee,36793036149F,3.938,2.326,1.5,2024-05-18T02:10:42.532191Z
Filtered,36793036149F,3.753199,2.1327,1.5,2024-05-18T02:10:42.775402Z
Raweee,36793036149F,3.874,2.15,1.5,2024-05-18T02:10:42.775402Z
Filtered,36793036149F,3.855763,2.171739,1.5,2024-05-18T02:10:43.026148Z
Raweee,36793036149F,4.064,2.251,1.5,2024-05-18T02:10:43.026148Z
Filtered,36793036149F,3.903031,2.294255,1.5,2024-05-18T02:10:43.275513Z
Raweee,36793036149F,3.999,2.543,1.5,2024-05-18T02:10:43.275513Z
Filtered,36793036149F,3.883221,2.296481,1.5,2024-05-18T02:10:43.525485Z
Raweee,36793036149F,3.843,2.301,1.5,2024-05-18T02:10:43.525485Z
Filtered,36793036149F,3.860378,2.258042,1.5,2024-05-18T02:10:43.809408Z
Raweee,36793036149F,3.814,2.18,1.5,2024-05-18T02:10:43.809408Z
Filtered,36793036149F,3.837153,2.207868,1.5,2024-05-18T02:10:44.062724Z
Raweee,36793036149F,3.79,2.106,1.5,2024-05-18T02:10:44.062724Z
Filtered,36793036149F,3.831823,2.155442,1.5,2024-05-18T02:10:44.305717Z
Raweee,36793036149F,3.821,2.049,1.5,2024-05-18T02:10:44.305717Z
Filtered,36793036149F,3.815381,2.154966,1.5,2024-05-18T02:10:44.545193Z
Raweee,36793036149F,3.782,2.154,1.5,2024-05-18T02:10:44.545193Z
Filtered,36793036149F,3.806675,2.148377,1.5,2024-05-18T02:10:44.790288Z
Raweee,36793036149F,3.789,2.135,1.5,2024-05-18T02:10:44.790288Z
Filtered,36793036149F,3.792593,2.149903,1.5,2024-05-18T02:10:45.078549Z
Raweee,36793036149F,3.764,2.153,1.5,2024-05-18T02:10:45.078549Z
Filtered,36793036149F,3.776887,2.168415,1.5,2024-05-18T02:10:45.322300Z
Raweee,36793036149F,3.745,2.206,1.5,2024-05-18T02:10:45.322300Z
Filtered,36793036149F,3.762734,2.191708,1.5,2024-05-18T02:10:45.567872Z
Raweee,36793036149F,3.734,2.239,1.5,2024-05-18T02:10:45.567872Z
Filtered,36793036149F,3.791862,2.350534,1.5,2024-05-18T02:10:45.815227Z
Raweee,36793036149F,3.851,2.673,1.5,2024-05-18T02:10:45.815227Z
Filtered,36793036149F,3.841078,2.564198,1.5,2024-05-18T02:10:46.064008Z
Raweee,36793036149F,3.941,2.998,1.5,2024-05-18T02:10:46.064008Z
Filtered,36793036149F,3.782642,2.645643,1.5,2024-05-18T02:10:46.376790Z
Raweee,36793036149F,3.664,2.811,1.5,2024-05-18T02:10:46.376790Z
Filtered,36793036149F,3.71973,2.563921,1.5,2024-05-18T02:10:46.626261Z
Raweee,36793036149F,3.592,2.398,1.5,2024-05-18T02:10:46.626261Z
Filtered,36793036149F,3.662069,2.407197,1.5,2024-05-18T02:10:46.866444Z
Raweee,36793036149F,3.545,2.089,1.5,2024-05-18T02:10:46.866444Z
Filtered,36793036149F,3.610236,2.237512,1.5,2024-05-18T02:10:47.112065Z
Raweee,36793036149F,3.505,1.893,1.5,2024-05-18T02:10:47.112065Z
Filtered,36793036149F,3.592008,2.119533,1.5,2024-05-18T02:10:47.358531Z
Raweee,36793036149F,3.555,1.88,1.5,2024-05-18T02:10:47.358531Z
Filtered,36793036149F,3.609496,2.090317,1.5,2024-05-18T02:10:47.649757Z
Raweee,36793036149F,3.645,2.031,1.5,2024-05-18T02:10:47.649757Z
Filtered,36793036149F,3.632762,2.136412,1.5,2024-05-18T02:10:47.898957Z
Raweee,36793036149F,3.68,2.23,1.5,2024-05-18T02:10:47.898957Z
Filtered,36793036149F,3.650661,2.197326,1.5,2024-05-18T02:10:48.144056Z
Raweee,36793036149F,3.687,2.321,1.5,2024-05-18T02:10:48.144056Z
Filtered,36793036149F,3.663643,2.238799,1.5,2024-05-18T02:10:48.386413Z
Raweee,36793036149F,3.69,2.323,1.5,2024-05-18T02:10:48.386413Z
