* 4 anchors
* Two people around
* 3 back and forth
Tracker_Raw: 36793036149F 5.275 -0.218 1.5 2024-05-17T20:46:48.259990Z
Tracker_Raw: 36793036149F 5.078 -0.181 1.5 2024-05-17T20:46:48.505494Z
Tracker_Raw: 36793036149F 4.925 -0.126 1.5 2024-05-17T20:46:48.753160Z
Tracker_Raw: 36793036149F 4.821 -0.128 1.5 2024-05-17T20:46:49.005878Z
Tracker_Raw: 36793036149F 5.018 -0.146 1.5 2024-05-17T20:46:49.285378Z
Tracker_Raw: 36793036149F 4.946 -0.525 1.5 2024-05-17T20:46:49.536216Z
Tracker_Raw: 36793036149F 5.074 -0.597 1.5 2024-05-17T20:46:49.790860Z
Tracker_Raw: 36793036149F 5.207 -0.507 1.5 2024-05-17T20:46:50.034417Z
Tracker_Raw: 36793036149F 5.273 -0.393 1.5 2024-05-17T20:46:50.293924Z
Tracker_Raw: 36793036149F 5.168 -0.663 1.5 2024-05-17T20:46:50.586212Z
Tracker_Raw: 36793036149F 5.134 -0.741 1.5 2024-05-17T20:46:50.836569Z
Tracker_Raw: 36793036149F 5.177 -0.668 1.5 2024-05-17T20:46:51.085862Z
Tracker_Raw: 36793036149F 5.205 -0.677 1.5 2024-05-17T20:46:51.328507Z
Tracker_Raw: 36793036149F 5.233 -0.639 1.5 2024-05-17T20:46:51.575312Z
Tracker_Raw: 36793036149F 5.277 -0.509 1.5 2024-05-17T20:46:51.859968Z
Tracker_Raw: 36793036149F 5.18 -0.615 1.5 2024-05-17T20:46:52.102527Z
Tracker_Raw: 36793036149F 5.145 -0.469 1.5 2024-05-17T20:46:52.353506Z
Tracker_Raw: 36793036149F 4.925 -0.693 1.5 2024-05-17T20:46:52.617409Z
Tracker_Raw: 36793036149F 4.934 -0.283 1.5 2024-05-17T20:46:52.869161Z
Tracker_Raw: 36793036149F 4.798 -0.202 1.5 2024-05-17T20:46:53.151988Z
Tracker_Raw: 36793036149F 4.638 -0.099 1.5 2024-05-17T20:46:53.396763Z
Tracker_Raw: 36793036149F 4.433 -0.035 1.5 2024-05-17T20:46:53.645118Z
Tracker_Raw: 36793036149F 4.343 0.272 1.5 2024-05-17T20:46:53.894068Z
